message;severity;node;stamp;topics;location
"log:39";"2";"/basic_logger";"1607569280.285945385";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:38";"16";"/basic_logger";"1607569279.285936078";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:38";"8";"/basic_logger";"1607569279.285929478";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:38";"4";"/basic_logger";"1607569279.285909378";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:38";"2";"/basic_logger";"1607569279.285858878";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:37";"16";"/basic_logger";"1607569278.285986070";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:37";"8";"/basic_logger";"1607569278.285974570";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:37";"4";"/basic_logger";"1607569278.285936070";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:37";"2";"/basic_logger";"1607569278.285870370";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:36";"16";"/basic_logger";"1607569277.285956863";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:36";"8";"/basic_logger";"1607569277.285944463";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:36";"4";"/basic_logger";"1607569277.285889963";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:36";"2";"/basic_logger";"1607569277.285830863";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:35";"16";"/basic_logger";"1607569276.286061957";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:35";"8";"/basic_logger";"1607569276.285989057";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
